Customer,FR intake,TP intake,DFL intake,Register update intake,Total intake,FR output,TP output,DFL output,Register update output,Total output,FR requests for information,TP requests for information,DFL requests for information,Register update requests for information,Total requests for information
Bridge McFarland Solicitors,44,16,97,545,702,32,15,89,520,656,18,9,37,150,214
Bright (South West) LLP,5,27,97,297,426,2,30,109,272,413,0,23,79,84,186
Brightstone Law LLP,3,18,11,462,494,2,8,8,437,455,1,5,6,90,102
Browne Jacobson LLP,11,98,68,442,619,16,67,63,426,572,9,23,33,75,140
Browns Solicitors,11,35,34,338,418,16,34,42,353,445,3,17,26,71,117
Bryan Cave Leighton Paisner LLP,2,399,5,1603,2009,3,39,8,1578,1628,0,17,3,81,101
BSG Solicitors,0,20,2,1073,1095,0,14,3,1022,1039,0,8,2,140,150
Burnetts,45,15,57,496,613,43,17,29,434,523,21,11,14,123,169
Butcher & Barlow,23,19,54,612,708,25,22,56,598,701,15,14,28,188,245
Butterworths,26,29,158,477,690,21,13,124,454,612,9,10,59,153,231
Campions Solicitors (Nottingham),14,20,48,419,501,11,18,52,383,464,6,10,21,119,156
Capita Mortgage Administration Ltd,0,0,0,857,857,0,0,0,854,854,0,0,0,0,0
Capsticks Solicitors LLP,3,124,32,184,343,2,78,33,628,741,2,62,19,35,118
Cavendish Legal Group,3,708,79,1178,1968,2,613,63,1004,1682,2,359,45,338,744
Central Trust Limited,0,0,0,383,383,0,0,0,380,380,0,0,0,17,17
Chadwick Lawrence LLP,34,82,64,1191,1371,34,98,94,1136,1362,19,71,41,351,482
Chafes Hague Lambert LLP,20,18,36,284,358,17,17,19,293,346,6,11,6,92,115
Charles Russell Speechlys LLP,26,330,41,733,1130,22,88,23,651,784,9,56,9,135,209
Charter Court Financial Services Limited,0,0,0,2696,2696,0,0,0,2654,2654,0,0,0,32,32
Chattertons (Inc Chattertons McKinnells),66,25,89,599,779,63,15,71,575,724,35,10,42,177,264
Child and Child Limited,0,61,4,296,361,1,53,4,261,319,0,19,2,68,89
Child Support Agency,0,0,0,798,798,0,0,0,721,721,0,0,0,19,19
CHL Mortgages (Capital Home Loans),0,0,0,565,565,0,0,0,560,560,0,0,0,0,0
Chubb Bulleid,41,18,47,358,464,34,15,47,342,438,11,10,21,68,110
Clarion Solicitors Ltd,2,7,9,345,363,1,6,6,309,322,1,4,3,75,83
Clarke Willmott,43,99,141,1747,2030,38,82,93,2444,2657,15,25,49,207,296
Clyde & Co LLP,12,29,28,601,670,10,41,22,558,631,4,20,7,73,104
CMS Cameron Mckenna LLP,8,99,38,1799,1944,10,79,32,1396,1517,3,37,11,167,218
Co-operative Legal Sevices,64,0,0,840,904,63,0,1,834,898,20,0,1,100,121
Coffin Mew LLP,47,179,408,662,1296,39,131,472,572,1214,4,53,155,126,338
Coles Miller Solicitors LLP,15,61,17,390,483,14,39,17,372,442,4,9,5,75,93
Collings Solicitors,2,25,4,334,365,5,11,4,328,348,1,8,1,82,92
Comptons,1,166,4,394,565,1,91,2,271,365,1,40,1,44,86
Computershare Mortgage SVS Ltd,0,0,0,5231,5231,0,0,0,5179,5179,0,0,0,0,0
Convey Law Limited,25,40,48,875,988,20,36,52,830,938,8,21,24,239,292
Conveyancing Direct Ltd,14,58,30,2908,3010,15,40,25,2852,2932,4,23,14,436,477
Coodes,44,34,77,530,685,45,35,65,514,659,19,22,39,146,226
Cook Taylor Woodhouse,6,125,199,1030,1360,6,120,204,995,1325,4,65,121,238,428
Core Legal Limited,5,15,110,361,491,6,17,102,370,495,2,8,57,138,205
Countrywide Property Lawyers,73,17,87,2363,2540,71,14,61,2268,2414,22,10,32,420,484
Countrywide Tax & Trust Corporation,17,0,1,612,630,15,1,1,530,547,3,1,1,102,107
Coutts and Co,0,0,0,372,372,0,0,0,371,371,0,0,0,25,25
Coventry Building Society,0,1,0,9074,9075,0,1,0,9039,9040,0,1,0,2,3
Cozens-Hardy LLP,17,24,29,308,378,23,19,33,294,369,10,8,13,100,131
Crane & Walton Solicitors,22,8,38,292,360,16,6,27,290,339,8,2,14,92,116
Creditfix Limited,0,0,0,665,665,0,0,0,648,648,0,0,0,74,74
Cripps,13,117,61,659,850,7,91,55,611,764,5,47,32,109,193
Crombie Wilkinson Solicitors,55,12,48,343,458,46,9,27,330,412,24,6,10,98,138
Crown Prosecution Service (CPS),0,0,0,507,507,0,0,0,496,496,0,0,0,12,12
Cubism Law,0,26,4,422,452,0,21,2,429,452,0,15,2,43,60
Cunningtons,14,22,55,545,636,12,41,41,563,657,7,12,28,151,198
Curtis Law LLP,11,14,73,314,412,12,8,26,262,308,7,4,17,48,76
DAC Beachcroft,11,107,23,583,724,12,68,24,647,751,4,33,14,95,146
Davies & Partners,10,45,166,499,720,8,40,113,608,769,1,27,58,120,206
Davisons Solicitors,36,168,334,1346,1884,34,218,342,1317,1911,16,149,205,427,797
DC Law,73,53,80,1885,2091,86,52,80,1943,2161,35,27,41,483,586
Dean Wilson Laing,8,77,7,439,531,0,61,21,342,424,0,32,13,73,118
Dee and Griffin,11,23,27,397,458,12,22,28,357,419,7,15,18,122,162
Dentons UKMEA LLP,7,128,18,569,722,4,102,19,541,666,0,59,11,115,185
Devonalds,15,6,40,418,479,23,5,23,398,449,12,4,13,152,181
Devonshires,87,210,99,3109,3505,81,266,108,2882,3337,34,132,66,116,348
Dezrezlegal Limited,8,12,21,294,335,5,9,15,287,316,2,5,9,69,85
Dickinson Wood,15,15,84,354,468,16,14,119,330,479,5,8,53,88,154
Direction Home (Law) LLP,21,790,159,822,1792,18,590,144,719,1471,1,308,66,230,605
DKLM,1,54,6,360,421,0,61,2,342,405,0,46,2,82,130
DLA Piper UK LLP,12,79,17,725,833,6,62,16,798,882,1,33,9,121,164
DMH Stallard,9,79,51,567,706,11,46,44,584,685,3,22,17,116,158
Douglas Wemyss LLP,9,17,17,308,351,11,13,16,314,354,5,8,11,114,138
Downs Solicitors LLP,5,29,20,328,382,2,20,22,327,371,0,13,13,69,95
Duffield Harrison LLP,4,60,58,231,353,4,74,40,212,330,3,42,22,61,128
Dutton Gregory,13,78,135,422,648,15,75,138,433,661,3,43,80,125,251
DWF LLP,8,215,42,984,1249,11,113,65,963,1152,5,66,40,162,273
DWP,0,0,0,605,605,0,0,0,603,603,0,0,0,0,0
D?r Cymru Welsh Water,0,0,0,561,561,0,0,0,704,704,0,0,0,9,9
EDC Lord & Co,3,66,12,259,340,3,58,8,240,309,3,32,3,63,101
E J Winter & Son,1,68,145,170,384,1,67,118,157,343,0,43,53,42,138
Edward Hands & Lewis,23,55,92,871,1041,37,66,116,891,1110,24,52,82,390,548
Elliot Mather LLP,22,32,155,699,908,32,24,154,656,866,18,7,89,231,345
Ellis Fermor & Negus,26,24,40,523,613,29,15,37,511,592,13,8,20,116,157
Ellis Jones,11,80,30,424,545,11,34,22,400,467,5,13,13,84,115
Ellisons,42,26,54,436,558,36,19,50,396,501,17,13,33,135,198
Elmhirst Parker LLP,36,3,36,262,337,30,4,18,268,320,8,2,13,71,94
Emin Read Solicitors,1,57,12,429,499,2,45,13,403,463,1,34,9,104,148
Emsleys,8,6,149,233,396,8,15,134,242,399,4,9,32,65,110
EMW Law LLP,11,54,29,324,418,11,44,27,324,406,5,19,21,96,141
Enact,132,57,57,33546,33792,142,26,58,33610,33836,48,14,31,4598,4691
Eric Robinson Solicitors,18,50,77,385,530,20,55,93,386,554,7,36,39,100,182
Estates & Management Ltd,0,0,414,373,787,2,0,63,337,402,2,0,13,42,57
Eversheds Sutherland,234,297,161,13001,13693,203,171,106,13027,13507,49,108,63,635,855
Evolution Lending Limited,0,0,0,1006,1006,0,0,0,991,991,0,0,0,54,54
Fairfax,0,0,0,803,803,0,0,0,819,819,0,0,0,31,31
Fairweather Law,5,48,179,145,377,3,45,190,115,353,1,25,85,25,136
Farnfields,18,17,20,337,392,18,13,26,323,380,10,6,8,71,95
Farrer & Co,29,16,26,345,416,7,12,13,278,310,4,7,5,57,73
FBC Manby Bowdler LLP,60,18,45,457,580,57,8,34,327,426,27,5,20,103,155
Fidler & Pepper,33,25,200,1736,1994,29,21,215,1739,2004,11,19,120,464,614
Fieldfisher LLP,5,49,14,1231,1299,6,47,21,1216,1290,4,33,13,261,311
Fisher Jones Greenwood (FJG),27,25,74,526,652,29,30,66,484,609,9,19,23,141,192
Flint Bishop Solicitors,22,36,40,417,515,23,20,41,425,509,11,7,30,117,165
Foot Anstey Solicitors,24,420,351,735,1530,14,301,327,642,1284,5,150,157,154,466
Forbes Solicitors,19,8,53,358,438,22,14,49,318,403,11,8,29,71,119
Forster Dean Ltd,18,6,46,420,490,16,5,34,427,482,4,4,15,138,161
Forsters LLP,6,143,41,897,1087,7,116,23,824,970,6,59,15,90,170
Foskett Marr Gadsby & Head,10,60,49,282,401,10,48,40,311,409,7,25,25,76,133
Fosters,26,17,25,385,453,30,11,24,366,431,8,5,10,86,109
Foys Solicitors,34,17,84,574,709,28,11,59,531,629,15,8,27,152,202
Franklins Solicitors LLP,16,58,212,432,718,17,52,186,407,662,8,24,82,120,234
Fraser Brown,12,65,88,558,723,13,61,96,431,601,6,36,39,97,178
Fraser Dawbarns Solicitors,62,13,75,386,536,60,9,51,368,488,38,6,27,112,183
Freers Askew Bunting Sols Ltd,12,14,42,456,524,13,8,39,433,493,6,6,20,122,154
Freeths,23,143,96,2181,2443,25,123,89,1751,1988,10,74,52,292,428
GM Wilson,2,9,192,300,503,6,10,151,301,468,4,7,67,113,191
Gaby Hardwicke,3,49,20,447,519,6,47,21,440,514,3,34,10,93,140
Gardner Leader,6,57,16,338,417,6,61,18,338,423,4,31,7,103,145
Garner Canning & Co Solicitor,21,59,133,896,1109,20,44,140,882,1086,8,32,72,303,415
Gateley,12,166,107,1832,2117,7,118,77,1331,1533,3,85,40,259,387
Geldards LLP,66,169,117,1068,1420,59,103,86,860,1108,13,47,29,76,165
Gepp & Sons Solicitors LLP,15,10,18,292,335,13,9,20,274,316,7,5,15,96,123
Gilbert Stephens Solicitors,15,17,31,343,406,14,17,21,321,373,9,10,7,89,115
Girlings,5,20,20,316,361,6,24,22,287,339,3,21,14,82,120
Glanvilles LLP,10,43,34,394,481,13,31,23,368,435,5,18,14,74,111
Glover Priest Solicitors Limited,30,52,99,854,1035,41,49,113,815,1018,21,39,65,322,447
Gordon Brown Law Firm LLP,13,34,254,558,859,19,276,273,527,1095,9,157,143,120,429
Gordons LLP,16,87,147,486,736,19,37,131,444,631,4,27,78,122,231
Gordons Property Lawyers,12,17,22,6038,6089,10,22,31,6062,6125,2,12,15,677,706
Gorvins,28,95,66,1234,1423,27,71,74,1249,1421,15,56,38,431,540
Gosschalks,11,37,24,364,436,15,20,22,484,541,7,14,17,89,127
Gowling WLG (UK) LLP,44,128,111,1287,1570,63,108,93,1420,1684,8,48,50,223,329
Green Wright Chalton Annis,8,81,23,518,630,10,36,20,450,516,6,17,5,91,119
Grindeys LLP,24,28,207,8437,8696,24,32,201,8371,8628,5,15,96,1017,1133
Gunnercooke LLP,5,29,9,382,425,8,18,14,338,378,3,14,11,73,101
Hadgkiss Hughes & Beale,14,15,12,354,395,7,18,17,343,385,2,12,11,101,126
Hallett & Co,16,22,39,294,371,10,27,33,276,346,4,12,17,81,114
Hampton Mortgage Servicing Limited,0,0,0,460,460,0,0,0,458,458,0,0,0,0,0
Harding Evans LLP,14,13,48,436,511,14,14,29,443,500,4,3,19,101,127
Harold Benjamin,10,37,6,636,689,14,29,7,592,642,1,15,7,149,172
Harrison Clark Rickerbys,48,91,85,753,977,51,64,87,606,808,30,43,59,157,289
Harrison Drury,13,8,31,341,393,13,15,23,327,378,7,15,14,89,125
Harrowells (inc Powell & Young),33,33,101,332,499,27,14,104,301,446,9,8,39,64,120
Hartley & Worstenholme,20,29,41,344,434,16,50,31,314,411,7,21,21,116,165
Hayward Moon Property Lawyers,15,31,49,549,644,18,15,35,507,575,6,9,20,142,177
HBOS PLC,0,0,0,19946,19946,0,0,0,19818,19818,0,0,0,8,8
HBOS PLC Bank,0,0,0,51062,51062,0,0,0,51098,51098,0,0,0,1,1
HCB Solicitors,8,38,35,386,467,5,15,33,366,419,2,13,26,125,166
Healys LLP,5,103,13,420,541,5,63,14,377,459,2,45,12,128,187
Hedleys & Co (Sunderland),5,5,105,267,382,7,5,101,258,371,5,5,34,86,130
Hegarty LLP,16,18,116,338,488,15,18,129,312,474,6,11,84,69,170
Herbert Smith Freehills LLP,0,11,5,441,457,1,1,0,365,367,1,0,0,24,25
Herrington & Carmichael LLP,5,99,253,324,681,4,68,219,291,582,2,20,86,61,169
Hewitsons,25,30,31,376,462,20,21,18,337,396,8,11,9,73,101
Hewitts,8,8,47,287,350,11,2,68,278,359,7,2,36,91,136
Hibberts LLP,45,13,31,295,384,30,10,37,285,362,10,4,19,97,130
Higgs & Sons,26,27,24,268,345,20,22,26,273,341,7,8,12,68,95
Hill Dickinson,9,80,19,453,561,9,48,14,485,556,3,25,6,98,132
Holmes & Hills,40,62,82,374,558,31,48,63,321,463,12,32,43,97,184
Home Property Lawyers Limited,26,15,44,661,746,24,19,38,641,722,9,12,22,170,213
Homeloan Management Limited,0,0,0,3778,3778,0,0,0,3710,3710,0,0,0,0,0
Homes And Communities Agency,0,0,0,4446,4446,0,0,1,4444,4445,0,0,0,0,0
Howard Kennedy FSI,4,118,22,668,812,4,75,11,694,784,1,37,9,136,183
Howells Solicitors,30,49,139,1008,1226,30,35,137,997,1199,8,15,60,241,324
Howes Percival,27,39,58,369,493,25,36,55,336,452,9,15,26,97,147
HSBC,0,0,0,17477,17477,0,0,0,17495,17495,0,0,0,75,75
HSBC Bank PLC,0,0,0,483,483,0,0,0,478,478,0,0,0,4,4
HSBC Invoice Finance (UK) Limited,0,0,0,385,385,0,0,0,388,388,0,0,0,3,3
HSR Law,23,6,44,365,438,20,4,34,374,432,7,4,20,127,158
Hugh James Solicitors,56,119,104,7970,8249,61,57,79,8062,8259,12,33,49,1048,1142
Humphries Kirk LLP,21,23,13,383,440,21,28,11,381,441,10,12,5,79,106
Hutchinson Thomas,15,12,33,363,423,10,6,23,357,396,6,3,13,119,141
Ingram Winter Green,0,90,4,326,420,0,79,7,323,409,0,12,5,29,46
Insight Law,6,9,17,355,387,13,10,22,361,406,8,6,17,120,151
Insolvency Service (The),0,0,0,670,670,0,0,0,609,609,0,0,0,10,10
Irwin Mitchell,27,86,46,1011,1170,20,85,48,908,1061,7,44,29,260,340
Ison Harrison,53,92,380,1075,1600,54,105,362,992,1513,21,84,185,330,620
J S Law,16,32,65,986,1099,16,44,64,961,1085,3,36,39,201,279
Jackson Lees Group Ltd,13,9,21,433,476,14,9,19,437,479,4,7,11,142,164
Jacksons Law Firm,10,46,199,253,508,10,53,213,253,529,4,19,114,67,204
Jaffe Porter Crossick LLP,0,98,2,282,382,0,56,1,264,321,0,19,1,67,87
Jane Brooks Law,25,9,71,540,645,25,10,62,531,628,11,3,28,187,229
JCP Solicitors Limited (Inc VJG Johns & Son),45,21,29,459,554,44,15,51,452,562,27,13,29,152,221
Jefferies Essex LLP,8,32,13,294,347,13,28,15,268,324,7,22,11,104,144
JMW Solicitors LLP,43,165,103,2203,2514,41,129,105,2134,2409,11,75,46,597,729
John W Davies & Co,9,12,20,519,560,7,17,24,507,555,2,13,18,156,189
Jones & Company,36,5,35,360,436,26,9,24,341,400,6,4,13,87,110
Jones Day,0,11,0,415,426,0,14,4,389,407,0,10,2,36,48
Judge & Priestley,2,60,6,427,495,2,36,2,373,413,2,20,1,99,122
Just Retirement Money Limited,0,0,0,512,512,0,0,0,500,500,0,0,0,0,0
Keebles LLP,30,64,71,874,1039,20,54,64,792,930,4,34,39,266,343
Kew Law LLP,15,24,40,361,440,15,20,33,342,410,5,12,22,111,150
Key Conveyancing,8,77,198,317,600,9,75,191,293,568,5,46,106,97,254
Kidd Rapinet LLP,7,49,31,562,649,16,50,25,534,625,5,27,21,175,228
Kitson Hutchings,10,17,20,312,359,12,22,11,304,349,8,13,6,101,128
Knights Solicitors LLP (Newcastle Under Lyme),22,128,69,2142,2361,22,65,82,1853,2022,13,33,37,240,323
Kuit Steinart Levy,4,19,11,355,389,4,24,5,395,428,3,14,2,99,118
Laceys,2,26,9,325,362,3,20,5,274,302,2,9,2,43,56
Lambert Pugh,14,4,32,342,392,12,4,31,346,393,5,3,10,78,96
Lambert Taylor & Gregory,17,2,8,404,431,18,7,8,466,499,5,5,4,75,89
Langley Wellington,11,39,114,352,516,12,43,117,305,477,5,31,70,102,208
Langleys,57,38,29,281,405,53,30,20,268,371,7,9,13,78,107
Lanyon Bowdler,40,21,44,339,444,36,26,40,321,423,21,10,20,60,111
Lawcomm Solicitors,1,229,12,193,435,2,189,16,172,379,0,107,11,57,175
Lawrence Stephens,2,51,3,403,459,1,65,4,437,507,0,34,2,111,147
Laytons Solicitors LLP,0,21,9,384,414,1,16,4,325,346,1,15,2,79,97
LB of Brent,0,4,0,533,537,1,0,0,477,478,0,0,0,6,6
LCF Residential Ltd,6,9,18,332,365,9,7,25,311,352,1,4,14,82,101
Leasehold Law LLP,0,80,4,361,445,0,66,9,321,396,0,34,8,10,52
Leathes Prior,16,28,29,281,354,13,24,25,285,347,2,11,10,77,100
Leeds & Holbeck Building Society,0,0,0,3933,3933,0,0,0,3923,3923,0,0,0,0,0
Legal Aid Agency,0,0,0,2981,2981,0,0,0,2955,2955,0,0,0,17,17
Lester Aldridge LLP,5,80,22,724,831,7,124,22,737,890,7,61,11,97,176
Levi Solicitors LLP,23,21,81,434,559,17,18,70,447,552,8,14,29,134,185
Lightfoots,15,62,53,3174,3304,15,53,47,3083,3198,10,33,27,545,615
Lloyds Bank PLC,0,0,0,7835,7835,0,0,0,7700,7700,0,0,0,17,17
LMS (trading as Total Conveyancing Services),4,1,5,3752,3762,6,0,5,3787,3798,3,0,5,1110,1118
Lockings,27,50,33,409,519,33,25,43,401,502,7,13,20,100,140
London & Quadrant Housing Trust,0,12,6,505,523,0,7,3,496,506,0,3,1,3,7
Lowell Solicitors Limited,0,0,0,497,497,0,0,0,445,445,0,0,0,22,22
Lupton Fawcett Denison Till,14,16,17,384,431,14,23,21,376,434,7,14,8,56,85
Macfarlanes LLP,1,14,9,465,489,1,11,8,421,441,1,5,5,29,40
Malcolm C Foy & Co Limited,6,21,206,304,537,7,17,233,305,562,2,8,144,83,237
Marcus Baum,12,29,17,499,557,13,25,19,462,519,3,16,10,132,161
Marsden Rawsthorn LLP,27,16,37,470,550,29,16,33,431,509,11,11,16,172,210
Martin Tolhurst Partnership LLP,4,50,59,1102,1215,8,32,40,1057,1137,3,22,19,258,302
Martin-Kaye,10,16,16,421,463,7,11,22,400,440,3,9,6,89,107
Mason Baggott & Garton,16,4,41,347,408,12,6,28,337,383,8,3,17,106,134
Matthew & Matthew,7,42,23,288,360,3,26,17,237,283,2,9,7,52,70
Matthew Montgomery & Co,2,31,102,250,385,1,30,99,245,375,0,14,52,77,143
Mayo Wynne Baxter,12,61,24,533,630,10,45,23,481,559,4,22,14,124,164
McMillan Williams,16,199,85,1642,1942,16,199,68,1612,1895,10,137,40,598,785
Mendip District Council,3,0,2,670,675,0,0,2,654,656,0,0,0,1,1
Metcalfe Copeman & Pettefar,34,6,20,358,418,25,3,24,374,426,12,1,12,96,121
MFG Solicitors,65,53,70,493,681,52,41,53,481,627,18,32,32,124,206
Michelmores LLP,23,52,53,522,650,22,40,31,443,536,10,13,23,97,143
Mike Judge,0,0,0,343,343,0,0,0,345,345,0,0,0,28,28
Mills & Reeve LLP,15,122,26,699,862,21,108,26,565,720,13,35,17,112,177
Mincoffs Solicitors LLP,12,24,36,451,523,8,11,17,375,411,3,6,7,65,81
Mishcon De Reya,4,62,6,421,493,1,85,1,293,380,1,62,1,77,141
Moon Beever,0,17,0,322,339,0,30,0,366,396,0,8,0,30,38
Mooreblatch,17,60,49,531,657,14,51,50,503,618,4,19,26,111,160
Morgan Jones & Pett,11,40,40,433,524,10,26,38,410,484,3,16,27,141,187
Morgan Laroche,15,12,21,304,352,22,18,18,292,350,11,12,9,50,82
Morrisons,3,30,9,371,413,2,26,14,234,276,2,13,6,72,93
Mortimer Clarke Solicitors Limited,0,0,0,1567,1567,0,0,0,1620,1620,0,0,0,63,63
Mortons,7,36,37,366,446,8,27,33,307,375,3,11,23,104,141
MSB Law LLP,8,25,108,516,657,7,46,113,478,644,2,22,70,163,257
Muckle LLP,17,9,194,222,442,12,22,42,335,411,3,13,9,37,62
My Home Move Limited,114,283,434,9679,10510,144,245,405,9511,10305,49,151,208,1573,1981
Nalders Solicitors,44,39,60,544,687,47,25,60,473,605,16,17,29,161,223
Nantes,23,18,18,290,349,18,10,25,281,334,6,3,9,50,68
Napthens LLP,61,25,101,866,1053,54,29,82,908,1073,22,19,53,227,321
National Westminster Bank PLC,0,0,0,29686,29686,0,0,0,29523,29523,0,0,0,37,37
Nationwide Building Society,0,0,0,35425,35425,0,0,0,35424,35424,0,0,0,18,18
Neil Myerson LLP,4,13,9,396,422,1,14,1,854,870,0,11,1,35,47
Nelsons Solicitors LLP,13,12,15,431,471,13,5,17,388,423,10,5,7,119,141
Nemo Personal Finance Limited,0,0,0,502,502,0,0,0,502,502,0,0,0,0,0
Neves Solicitors,14,46,53,334,447,13,53,40,297,403,6,27,26,75,134
New Homes Law,0,334,202,165,701,0,336,176,148,660,0,189,105,66,360
Newbold & Co,61,9,129,532,731,56,19,122,554,751,9,12,52,156,229
Newtons Solicitors Ltd,26,14,54,482,576,27,10,63,431,531,13,7,33,123,176
Nigel Broadhead Mynard,12,36,42,440,530,12,36,34,432,514,7,25,21,166,219
Northumbrian Water Limited,0,0,2,335,337,0,0,1,336,337,0,0,0,23,23
Norton Finance (UK) Limited,0,0,0,438,438,0,0,0,433,433,0,0,0,29,29
Norton Peskett (Quality Solicitors),44,22,95,506,667,41,24,119,487,671,10,11,46,109,176
Nottingham Building Society,0,0,0,1038,1038,0,0,0,1032,1032,0,0,0,0,0
